model,cv_auc_mean,cv_auc_std,test_auc,test_acc
LogisticRegression,0.8097339131244349,0.008095043920337034,0.8046632655151924,0.7160931174089069
GaussianNB,0.7920169580020884,0.008216298173388136,0.7915483434753211,0.708502024291498
DecisionTree,0.6336839845604919,0.007076227847204365,0.643193599278792,0.6432186234817814
